Title,Authors,Year,Venue,Citations,Database,Model,Num_Images,Epochs,Batch_Size,Accuracy,Precision,Recall,F1_Score,IoU,AUC,Other_Metrics,URL
Efficient Chromosome Abnormal Detection using Yolo-V8 model,"V. UmaRani, Augustian Isaac, K. Premnath, K. G., S. A et al.",2025,"2025 3rd International Conference on Intelligent Systems, Advanced Computing and Communication (ISACC)",0,Semantic Scholar,"VGG-19, VGG, YOLO, DCNN",Not specified,Not specified,Not specified,95.2%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/a617a197852d9c9b08f3be721c8e013ffd5d2b99
Dari Mikroskop ke Machine Learning: Tinjauan Literatur tentang Teknologi Pemeriksaan Spermatozoa pada Kasus Persetubuhan (2019–2024),Neshya Ruriana Putri,2025,Journal of Islamic Medicine,0,Semantic Scholar,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/47bcbd689534e98c04b7052e8eaffc3900d6d521
DPCformer: An Interpretable Deep Learning Model for Genomic Prediction in Crops,"Pengcheng Deng, Kening Liu, Mengxi Zhou, Mingxi Li, Rui Yang et al.",2025,arXiv Preprint,,arXiv,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,http://arxiv.org/abs/2510.08662v2
ChromosomeNet: Deep Learning-Based Automated Chromosome Detection in Metaphase Cell Images.,"Chih-En Kuo, Jun-Zhou Li, Jenn-Jhy Tseng, Feng-Chu Lo, Ming-Jer Chen et al.",2025,IEEE open journal of engineering in medicine and biology,,PubMed,"YOLO, R-CNN, Transformer/ViT",5000 metaphase,Not specified,Not specified,99.60%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/39906268/
Chromosome Image Classification Using Edge Fusion Attention Network,"V. Praveena, S. Anbumani, M. Nirmala, S. Karthik",2025,Microscopy research and technique (Print),1,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,99.5%,99.63%,99.45%,99.48%,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/c5240e259c4efd313213b08f85bd0c503d465b65
Chromosome Image Classification Based on Improved Differentiable Architecture Search,"Jianming Li, Changchang Zeng, Min Zhou, Zeyi Shang, Jiangang Zhu",2025,Electronics,1,Semantic Scholar,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/bb1b4f1bbd7647ad067e5314412b6abba5a0f81a
Automatic detection of sister chromatid exchanges using machine learning models and image analysis algorithms.,"Mizuo Teraoka, Shinya Matsumoto, Ryotaro Kawasumi, Kiyoshi Nishikawa, Kan Okubo et al.",2025,Scientific reports,,PubMed,"Mask R-CNN, R-CNN, Transformer/ViT, Vision Transformer",Not specified,Not specified,Not specified,84.10%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/41198709/
Automated karyogram analysis for early detection of genetic and neurodegenerative disorders: a hybrid machine learning approach,"S. Tabassum, Muhammad Jawad Khan, Javaid Iqbal, A. Waris, M. A. Ijaz",2025,Frontiers Comput. Neurosci.,4,Semantic Scholar,Autoencoder,. karyotype,Not specified,Not specified,99.3%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/d82474c41b929908d2551865f290d653e8d0748b
Automated Detection of Dicentric Chromosomes Using Deep Learning: A Scalable Solution for Cytogenetic Analysis,"D. S, V. S",2025,2025 International Conference on Networks & Advances in Computational Technologies (NetACT),0,Semantic Scholar,"Faster R-CNN, R-CNN",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/375afd86769397766a6345da186ab4066041dcd0
Artificial Intelligence and Chromothripsis.,"Davide Callegarin, Nada Maaziz, Anne-Laure Mosca, Nathalie Marle, Mélodie Opale et al.",2025,"Methods in molecular biology (Clifton, N.J.)",,PubMed,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/40884650/
Adaptive genetic algorithm based deep feature selector for cancer detection in lung histopathological images.,"Avigyan Roy, Priyam Saha, Nandita Gautam, Friedhelm Schwenker, Ram Sarkar",2025,Scientific reports,,PubMed,CNN,Not specified,Not specified,Not specified,99.75%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/39922836/
APTES: a high-throughput deep learning-based Arabidopsis phenotypic trait estimation system for individual leaves and siliques.,"Ruifang Zhai, Ning Tang, Zhi Liu, Sha Tao, Yupu Huang et al.",2025,aBIOTECH,,PubMed,"Mask R-CNN, R-CNN, GAN",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/41312108/
A deep learning-based automatic chromosome segmentation method for metaphase cell images.,"Jenn-Jhy Tseng, Chien-Hsing Lu, Li-Yuan Huang, Wen-Chien Bin, Ming-Jer Chen et al.",2025,Computers in biology and medicine,,PubMed,"SegNet, Transformer/ViT, Xception",Not specified,Not specified,Not specified,98.9%,Not specified,99.7%,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/40818203/
micronuclAI: Automated quantification of micronuclei for assessment of chromosomal instability.,"Miguel A Ibarra-Arellano, Lindsay A Caprio, Aroj Hada, Niklas Stotzem, Luke Cai et al.",2024,bioRxiv : the preprint server for biology,,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/38854106/
[Application of convolutional neural networks for the classification of metaphase chromosomes].,"Lingling Xu, Ying Zhou, Lichao Zhang, Zhenyu Wang, Q. Mao et al.",2024,Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics,0,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/8126d4fc20d24150aadbbc2b6751193da7cbd57b
The model architecture search system for chromosome image classification,Nurullah Calik,2024,"Signal, Image and Video Processing",2,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/c89ca4bb50a205eceee1e76e0daa81f0b498364f
Karyotype AI for Precision Oncology,"Z. Shamsi, D. Bryant, Jacob M Wilson, X. Qu, Kumar Avinava Dubey et al.",2024,Blood,4,Semantic Scholar,"Inception, Transformer/ViT",Not specified,Not specified,Not specified,99.3%,100%,90%,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/304a5e56ea6a4bbbfcae64986f2ca0b6b7765818
KaryoXpert: An accurate chromosome segmentation and classification framework for karyotyping analysis without training with manually labeled metaphase-image mask annotations.,"Siyuan Chen, Kaichuang Zhang, Jingdong Hu, Na Li, Ao Xu et al.",2024,Computers in biology and medicine,,PubMed,Xception,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/38776728/
Geogenomic Predictors of Genetree Heterogeneity Explain Phylogeographic and Introgression History: A Case Study in an Amazonian Bird (Thamnophilus aethiops).,"Lukas J Musher, Glaucia Del-Rio, Rafael S Marcondes, Robb T Brumfield, Gustavo A Bravo et al.",2024,Systematic biology,,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/37804132/
GeoChromNet: Declustering Metaphase Chromosomes via Topology-Informed Deep Instance Segmentation,"D. G, L. V, Biju V G, V. R, Nonam Chellapan et al.",2024,2024 11th International Conference on Advances in Computing and Communications (ICACC),0,Semantic Scholar,"Mask R-CNN, R-CNN, SegNet, DeepLab",5000 metaphase,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/16f88be6c7623935dee604d4152460f96db57a1d
Fully Automatic Karyotyping via Deep Convolutional Neural Networks,"Chengyu Wang, Limin Yu, Jionglong Su, Juming Shen, Valerio Selis et al.",2024,IEEE Access,4,Semantic Scholar,"Mask R-CNN, R-CNN",Not specified,Not specified,Not specified,Not specified,89.75%,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/caaf6187e7e5bd35a21664979ca6c88cd4ebb5a4
Evaluating Performance of Machine Learning Models for Chromosomal Disorder Classification using Karyotype Images: A Comparative Study,"Pallavi Shetty, S. Kamath, P. D., Rajesh B S, R. A. Shetty et al.",2024,"2024 3rd International Conference on Automation, Computing and Renewable Systems (ICACRS)",0,Semantic Scholar,Inception,835 images,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/9e5800cf78560001bc566211d70f7d19fb3fc7c5
Enhancing chromosomal analysis efficiency through deep learning-based artificial intelligence graphic analysis,"Ying Zhou, Lingling Xu, Lichao Zhang, Danhua Shi, Chao Wu et al.",2024,Discover Applied Sciences,6,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/4048dde605c0b64076fa9e5240bc8c8d63a4b1d6
Chromosome segmentation and classification: an updated review,"D. Somasundaram, Nirmala Madian, Kam Meng Goh, S. Suresh",2024,Knowledge and Information Systems,3,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/804c82355dec80d824b9361f5cd70c0fd85942e8
Artificial Intelligence and its Role in Forensic Karyotyping: A Systematic Review,"Sachin Kumar Tripathi, K. Rao, Rajiv Ratan Singh, P. K. Yadav",2024,Indian Journal of Forensic Medicine &amp; Toxicology,0,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/ff8bc37339a4c7cf77a4d5cc908ce6a4f8b75ada
Analyzable Metaphase Image Selection Using Deep Learning,"A. S, Gopakumar C",2024,2024 11th International Conference on Advances in Computing and Communications (ICACC),0,Semantic Scholar,"ResNet-50, ResNet, VGG-16, DenseNet, EfficientNet, MobileNet",", metaphase",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/b56bae0cd28151e8ea4518f4ceafa1d98fc57d53
An Integral R-Banded Karyotype Analysis System of Bone Marrow Metaphases Based on Deep Learning.,"Jiyue Wang, Chao Xia, Yaling Fan, Lu Jiang, Guang Yang et al.",2024,Archives of pathology & laboratory medicine,,PubMed,Not specified,885 metaphase,Not specified,Not specified,93.33%,Not specified,Not specified,Not specified,91.95%,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/37931220/
P-069 A male factor panel of NGS can identify the genetic cause of more than half patients with seminal alterations,"A. Turienzo Diez, E. M. Garcia, A. Pay, R. Morales, F. Lozano et al.",2023,Human Reproduction,0,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/ccc189fd521c559db372f01c718479b89cd50d62
Masked conditional variational autoencoders for chromosome straightening,"Jingxiong Li, Sunyi Zheng, Zhongyi Shui, Shichuan Zhang, Linyi Yang et al.",2023,arXiv Preprint,,arXiv,Autoencoder,", chromosomes",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,http://arxiv.org/abs/2306.14129v1
Hybrid Genetic Algorithm and Hill Climbing Optimization for the Neural Network,"Krutika Sarode, Shashidhar Reddy Javaji",2023,arXiv Preprint,,arXiv,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,http://arxiv.org/abs/2308.13099v1
High-precision automatic identification method for dicentric chromosome images using two-stage convolutional neural network.,"Xiang Shen, Tengfei Ma, Chaowen Li, Zhanbo Wen, Jinlin Zheng et al.",2023,Scientific reports,,PubMed,CNN,Not specified,Not specified,Not specified,99.4%,Not specified,85.8%,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/36746997/
Genome-wide scans for selective sweeps using convolutional neural networks.,"Hanqing Zhao, Matthijs Souilljee, Pavlos Pavlidis, Nikolaos Alachiotis",2023,"Bioinformatics (Oxford, England)",,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/37387128/
Genetic hyperparameter optimization with Modified Scalable-Neighbourhood Component Analysis for breast cancer prognostication.,"Shtwai Alsubai, Abdullah Alqahtani, Mohemmed Sha",2023,Neural networks : the official journal of the International Neural Network Society,,PubMed,"Inception, DCNN",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/36913821/
Deep-Learning-Based Human Chromosome Classification: Data Augmentation and Ensemble,"M. D’Angelo, L. Nanni",2023,Inf.,12,Semantic Scholar,"ResNet-50, ResNet, Transformer/ViT",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/c14206a4a63f019a731ede279fb7a29228198d08
Deep learning system for classification of ploidy status using time-lapse videos.,"E. Paya, Cristian Pulgarín, L. Bori, Adrián Colomer, V. Naranjo et al.",2023,F&S Science,8,Semantic Scholar,LSTM,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/8bb48c9c1210cbbc9f664481d211019d827b8a61
DPSeq: A Novel and Efficient Digital Pathology Classifier for Predicting Cancer Biomarkers using Sequencer Architecture,"Min Cen, Xingyu Li, Bangwei Guo, Jitendra Jonnagaddala, Hong Zhang et al.",2023,arXiv Preprint,,arXiv,"ResNet-18, ResNet, EfficientNet, MobileNet, Transformer/ViT, Vision Transformer, LSTM, Xception",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,http://arxiv.org/abs/2305.01968v1
"Combined molecular subtyping, grading, and segmentation of glioma using multi-task deep learning.","Sebastian R van der Voort, Fatih Incekara, Maarten M J Wijnenga, Georgios Kapsas, Renske Gahrmann et al.",2023,Neuro-oncology,,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.90,Not specified,https://pubmed.ncbi.nlm.nih.gov/35788352/
Classifying aneuploidy in genotype intensity data using deep learning.,"A. Bouwman, I. Hulsegge, R. Hawken, J. Henshall, R. Veerkamp et al.",2023,Journal of animal breeding and genetics = Zeitschrift fur Tierzuchtung und Zuchtungsbiologie,5,Semantic Scholar,CNN,Not specified,Not specified,Not specified,99.9%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/0980deea77dc179af9cfb10fe4f76c4ef4d3f61c
Classification of Chromosomes to Diagnose Chromosomal Abnormalities using CNN,"S.Saranya Dr, S. Lakshmi",2023,2023 International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF),1,Semantic Scholar,Not specified,4830 chromosomes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/bcc8033068d1d248f0dc2b06e35e59a370428cb7
Chromosome classification via deep learning and its application to patients with structural abnormalities of chromosomes.,"Chuan Yang, Tingting Li, Qiulei Dong, Yanyan Zhao",2023,Medical engineering & physics,,PubMed,DCNN,Not specified,Not specified,Not specified,85.37%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/37985030/
Chromosome Karyotyping and Aneuploidy Detection using Deep Learning Networks,Et al. S. Saranya,2023,International Journal on Recent and Innovation Trends in Computing and Communication,0,Semantic Scholar,GoogLeNet,Not specified,Not specified,Not specified,99%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/03374e55d887636503bd45393a2ac714dd6238b0
Chromosome Cluster Type Identification Using a Swin Transformer,"Indu Joshi, Arnab Kumar Mondal, N. Navab",2023,Applied Sciences,11,Semantic Scholar,Transformer/ViT,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/537a100ba8a447254e5bdf10bbd67c0f3528f37c
Automatic sex estimation using deep convolutional neural network based on orthopantomogram images.,"Wen-Qing Bu, Yu-Xin Guo, Dong Zhang, Shao-Yi Du, Meng-Qi Han et al.",2023,Forensic science international,,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/37094502/
Automatic detection of a structural chromosomal abnormality: the del(5q) deletion,"M. Bechar, J. Guyader, Marwa El Bouz, N. Douet-Guilbert, Ayman Al Falou et al.",2023,Defense + Commercial Sensing,2,Semantic Scholar,VGG-19,. karyotype,Not specified,Not specified,98.66%,Not specified,89.33%,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/39f2343ba5e655e4075f77cc6e103b04df232a34
A novel two-staged deep learning based workflow for analyzable metaphase detection,H. I. Turkmen,2023,Multimedia tools and applications,4,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/d7f679fda2969fa6ac66e0c14f233f56d0d8c2cd
A cloud-based resource for genome coordinate-based exploration and large-scale analysis of chromosome aberrations and gene fusions in cancer,"Janet Wang, Jeanne Zheng, Elaine E Lee, Boris Aguilar, J. Phan et al.",2023,"Genes, Chromosomes and Cancer",11,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/36598fa8f1d45a4236202886a37bf9b5d58b1c7d
Two-dimensional CNN-based distinction of human emotions from EEG channels selected by multi-objective evolutionary algorithm.,"Luis Alfredo Moctezuma, Takashi Abe, Marta Molinas",2022,Scientific reports,,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/35241745/
Triplet loss for Chromosome Classification,"Pranshav Gajjar, P. Shah, Akash Vegada, J. Savalia",2022,Journal of Innovative Image Processing,5,Semantic Scholar,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/2287d3199a9f9c0a6c6de8782a4d154ff2b7fe80
Rapid and automatic detection of micronuclei in binucleated lymphocytes image.,"Xiang Shen, Ying Chen, Chaowen Li, Fucheng Yang, Zhanbo Wen et al.",2022,Scientific reports,,PubMed,CNN,2000 images,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/35273270/
Pattern recognition of topologically associating domains using deep learning.,"Jhen Yuan Yang, Jia-Ming Chang",2022,BMC bioinformatics,,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/36482308/
P-024 Identification of spermatogenic infertility phenotypes using next generation sequencing,"G. Eva M, F. Lozano, B. Lledó, A. Turienzo, A. Cascales et al.",2022,Human Reproduction,0,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/133bd367a5fa6d752fa7f7b2e683ec223917e87c
Mathematical approach for segmenting chromosome clusters in metaspread images.,"Somasundaram Devaraj, Nirmala Madian, S Suresh",2022,Experimental cell research,,PubMed,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/35691379/
DeepLRR: An Online Webserver for Leucine-Rich-Repeat Containing Protein Characterization Based on Deep Learning.,"Zhenya Liu, Zirui Ren, Lunyi Yan, Feng Li",2022,"Plants (Basel, Switzerland)",,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/35009139/
Deep learning-based identification of sub-nuclear structures in FIB-SEM images,"Niraj Gupta, Eric J. Roberts, Song Pang, C. Shan Xu, Harald F. Hess et al.",2022,arXiv Preprint,,arXiv,CNN,Not specified,Not specified,Not specified,90%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,http://arxiv.org/abs/2207.09598v1
Deep Learning Pipeline for Chromosome Segmentation,"Kristyna Pijackova, T. Gotthans, J. Gotthans",2022,International Conference Radioelektronika,9,Semantic Scholar,"U-Net, Mask R-CNN, R-CNN",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/d8c4b74da1a33f545474d841b352b87746a1edba
"DLm6Am: A Deep-Learning-Based Tool for Identifying N6,2'-O-Dimethyladenosine Sites in RNA Sequences.","Zhengtao Luo, Wei Su, Liliang Lou, Wangren Qiu, Xuan Xiao et al.",2022,International journal of molecular sciences,,PubMed,LSTM,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/36232325/
Classification of analyzable metaphase images using transfer learning and fine tuning.,Abdulkadir Albayrak,2022,Medical & biological engineering & computing,,PubMed,"VGG-16, VGG, Inception",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/34822119/
Circulating Tumor Cell Identification Based on Deep Learning.,"Zhifeng Guo, Xiaoxi Lin, Yan Hui, Jingchun Wang, Qiuli Zhang et al.",2022,Frontiers in oncology,,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/35252012/
ChromosomeNet: A massive dataset enabling benchmarking and building basedlines of clinical chromosome classification.,"Chengchuang Lin, Hanbiao Chen, Jiesheng Huang, Jing Peng, Li Guo et al.",2022,Computational biology and chemistry,,PubMed,Not specified,2763000 karyotype,Not specified,Not specified,99.33%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/35907293/
Chromosome Segmentation Analysis Using Image Processing Techniques and Autoencoders,"Amritha S. Pallavoor, A. Prajwal, TS Sundareshan, Sreekanth K Pallavoor",2022,arXiv.org,6,Semantic Scholar,Autoencoder,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/98def82064941192fe82ef9c8aa77b7412e7a4dd
